Id,SalePrice
1461,132467.8
1462,170513.36
1463,178392.06
1464,189338.66
1465,190322.2
1466,171463.72
1467,171199.11
1468,168130.8
1469,183819.45
1470,114729.01
1471,198630.84
1472,94428.695
1473,97646.74
1474,151976.17
1475,122563.96
1476,387753.28
1477,246175.72
1478,296431.75
1479,251330.11
1480,490323.16
1481,302541.2
1482,223681.75
1483,148974.78
1484,162941.38
1485,171837.34
1486,201904.62
1487,312776.47
1488,240831.84
1489,203740.16
1490,185593.45
1491,187850.16
1492,96755.7
1493,179116.64
1494,264004.94
1495,281732.1
1496,216338.2
1497,162021.95
1498,160414.84
1499,157153.33
1500,147426.9
1501,178182.4
1502,137882.39
1503,279910.56
1504,227758.03
1505,218118.94
1506,186651.77
1507,241181.19
1508,213008.94
1509,168692.11
1510,144390.05
1511,146046.84
1512,168551.45
1513,142379.23
1514,190432.69
1515,199685.23
1516,166324.33
1517,160984.05
1518,131896.94
1519,219183.06
1520,133315.84
1521,143459.78
1522,157159.88
1523,110602.85
1524,137085.27
1525,126826.53
1526,136271.94
1527,93024.46
1528,134283.3
1529,140704.38
1530,179278.03
1531,97892.78
1532,110059.734
1533,149391.14
1534,123720.97
1535,158181.12
1536,117700.11
1537,65032.652
1538,166610.75
1539,191063.4
1540,100226.875
1541,150290.42
1542,140480.28
1543,241160.31
1544,90510.54
1545,110550.03
1546,111023.67
1547,136394.03
1548,143111.56
1549,105106.41
1550,136086.17
1551,108972.125
1552,120566.4
1553,153432.95
1554,119368.12
1555,183021.81
1556,78800.195
1557,126026.555
1558,95890.766
1559,85586.94
1560,139192.55
1561,164895.89
1562,126608.5
1563,120863.67
1564,141328.33
1565,139691.97
1566,215527.0
1567,68564.72
1568,217655.53
1569,143955.53
1570,125720.07
1571,131845.61
1572,143827.8
1573,245936.5
1574,85641.18
1575,190826.48
1576,223610.55
1577,204392.34
1578,125755.875
1579,141632.36
1580,199740.2
1581,147831.81
1582,126996.8
1583,328259.84
1584,235308.94
1585,141950.45
1586,63725.816
1587,106707.45
1588,153938.81
1589,108402.25
1590,138691.75
1591,105356.31
1592,114573.88
1593,114252.91
1594,165847.97
1595,98297.91
1596,235994.67
1597,182326.48
1598,197829.23
1599,175101.38
1600,176210.16
1601,57429.02
1602,104809.58
1603,97182.92
1604,270462.44
1605,242031.97
1606,172860.7
1607,175673.98
1608,210990.02
1609,202950.69
1610,155376.12
1611,144116.7
1612,149651.12
1613,147552.66
1614,124035.81
1615,93304.055
1616,71704.38
1617,89886.81
1618,126343.51
1619,128506.54
1620,132680.67
1621,136789.73
1622,136057.45
1623,308888.3
1624,211859.34
1625,129456.12
1626,167085.67
1627,185646.92
1628,285084.28
1629,184462.92
1630,423429.75
1631,232645.98
1632,248761.2
1633,167867.84
1634,190251.52
1635,181639.66
1636,155380.12
1637,156927.5
1638,216982.9
1639,182073.72
1640,277183.28
1641,172956.6
1642,206156.12
1643,230671.17
1644,219852.39
1645,177047.36
1646,154546.0
1647,155196.45
1648,126618.38
1649,146277.81
1650,119209.92
1651,118534.52
1652,94826.945
1653,96205.6
1654,154172.23
1655,134239.28
1656,146063.66
1657,154664.47
1658,146916.06
